go_form,go_meaning,go_source,so_form,so_meaning,so_source,re_form,re_meaning,re_source,gu_form,gu_meaning,gu_source,kh_form,kh_meaning,kh_source,ju_form,ju_meaning,ju_source,gt_form,gt_meaning,gt_source,sa_form,sa_meaning,sa_source,mu_form,mu_meaning,mu_source,ho_form,ho_meaning,ho_source,kw_form,kw_meaning,kw_source,ko_form,ko_meaning,ko_source,pmunda,gloss,ID,pinnow,mkcd_no,mkcd_form,mkcd_meaning,mkcd_attested,pP_sid_2015_no,pP_sid2015_form,pP_sid2015_meaning,pWBah_SidJ2003_no,pWBah_SidJ2003_form,pWBah_SidJ2003_meaning,pSBah_Sid2000_no,pSBah_Sid2000_form,pSBah_Sid2000_meaning,pKat_sid2005_no,pKat_sid2005_form,pKat_sid2005_meaning,pM_Zide_ref,pM_Zide_form,pM_Zide_meaning,comment,swadesh_1971
bubuˀd,,FR,biɲ/biŋ,,RSED.p59,bubuʔ,,BDBH.1931,buɽbui,,GGEG.p108,buɲam,,PKED.p4,bubuŋ,,PJDW.p172,boʔ,,PGEG.p12,biɲ,,CDES.p179,biŋ,,BMED.p23,biɲ,,HOGV.p178,bi:ŋ,,BAHL.p108,biɲj,,NKEV.p294,*bv₃ɲ(ˀ),snake,#A0041,V353,937,*[b]saɲʔ,snake,Katuic; Palaungic; Khasi; Viet-Muong,766,*pəsɤɲ,snake,,,,,,,,,,,,,"MKCD 937 _*[b]saɲʔ_ is the prime candidate in MKCD. MKCD 1921a _*ɓəs_ is a less likely option. The close back rounded vowels and the close-mid back rounded vowel in Gtaʔ suggest a rounded vowel followed by a palatal, nasal, and glottalized coda. The best candidate  for this vowel phoneme is /o/, thus _*boɲˀ_ or maybe _*booˀɲ_. Other possibilities are _*buɲˀ_/_*buuˀɲ_ or more problematic _*ɨ_ or _*ʉ_. This correspondence set differs significantly form the sets _*ɲ₁_ and _*ɲ₂_. However, it remains unclear whether this set represents a separat proto-Munda phoneme _*ɲˀ_ or whether the diverging correspondences reflect the presence of a glottal element in the coda and thus ultimately reflect _*bVVˀɲ_ or something similar. Either way, Gorum /ˀd/, Gutob /∅/ as well as Remo and Gtaʔ /ʔ/ need an explanation. The sequence _*ɲˀ_ would be alluringly close to _*ɲʔ_ in MKCD 937. However, all evidence suggests that _*ɲʔ_ should simply become _*ɲ_ in proto-Munda. Alternatively, two etyma – _*bVɲ_ and _*bVˀt_ – could be posited.",
(or),,FR,(or),,RSED.p195,se,,BDBH.2706,sui,,AG08.p650,si,,PKED.p143,si,,PJDW.p276,si,,PGEG.p42,si,,CDES.p143,siu,,BMED.p175,si:,,HOGV.p170,si:,,BAHL.p135,—,,—,*sv₂₂,plough (v),#A0042,V99,1599,*bcuər,to plough,Khmer; Katuic; South Bahnaric,—,—,—,,,,,,,,,,,,,"This etymon is unattested in Sora or Gorum. Because of this, it cannot be decided whether _*sx_ belongs to _*s₁_ or _*s₂_. However, s-loss in Sora and Gorum would result in a verb root consisting of a single vowel. This would motivate the replacement of this lexeme in the two languages. For this reason, _*sx_ ‘plough (v)’ has been listed under _*s₁_, but the available evidence und the current unerstanding of _*s₁_ or _*s₂_ does not allow for a final decision. MKCD 1599 _*bcuər_ is not a good candidate.",
zaleˀb,,FR,ɟa:l,,RSED.p119,salep',,BDBH.2523,sal,,GZ63.228,jal,,PKED.p82,janɔ,,JLIC.v372,cca,,PGEG.p14,jal,,CDES.p112,jal,,EM.p1965,jal,,HOGV.p164,(jaɽa:ʔ),,BAHL.p60,jal,,NKEV.p312,*ɟal,lick (v),#A0043,V13,1409,*[c]limʔ; *[c]liəmʔ; *[c]laim[ ],to lick,Viet-Muong / Mon; North Bahnaric; Viet-Muong / Khmer / Khasi,403,*liɛt,lick,,,,,,,,,,,,,"Proto-Austro-Asiatic _*[c]limʔ_; _*[c]liəmʔ_; _*[c]laim[ ]_ seems to correspond closely to Gorum _zaleˀb_ and Remo _salep’_ (palatal - vowel - /l/ vowel - bilabial). The loss of final coda in all but Gorum and Remo is unexpected. Where it is preserved, it occurs as reflexes of pM _*ˀp_ and not _*m_. Reflexes of the sequence _*mʔ_ are not well understood so far, though. If taken one by one _*m+ʔ_ should become _*m+∅_. So from Shorto’s form, we would expect pMunda _*ɟəlam_ or _\*ɟəlem_ and not _*ɟal_ or if Gorum and Remo are taken as base _*ɟalEˀp_. However, maybe the sequence _*mʔ_ behaves different than the individual proto-phonemes. Korwa _jaɽa:ʔ_ with /ɽ/ is problematic. Even if it could be interpreted as parallel to Gorum and Gutob and thus reflecting _*ɟalVˀp_, the form remains problematic especially since /ʔ/ is not an attested reflex of _*ˀp_.",
gumar,,FR,gum,,RSED.p105,(giteʔ),,BDBH.864,gim,,GZ63.134,gum,,PKED.p67,guŋ/guɲ,,PJDW.p199,goŋ,,PGEG.p20,gum,,BSDV2.p490,gum,,BMED.p214,gum,,DHED.p120,gum,,BAHL.p45,gum,,NKEV.p307,*gum,winnow (v),#A0044,K159,1317,*gum; *guum; *g[əə]m,to winnow,South Bahnaric / Mon; Khmuic; Palaungic / Central Aslian,265,guːm,winnow,,,,,,,,,,,,,"If Remo _gumi_ ‘heap of unclean paddy before winnowing’ (BDBH.908) can be connected, it would connected these reflexes to _*u₁_, with Gtaʔ _goŋ_ displaying exceptional reflexes of proto-Munda _*u_ and proto-Munda _*m_.",
buˀd,,FR,büd,,RSED.p63,biʔ,,BDBH.1898,biɽ,,GZ63.67,biˀɖ,,PKED.p20,bir,,PJDW.p167,big,,PGEG.p11,bit',,CDES.p142,bid',,BMED.p22,biɖ,,DHED.p35,,,,biʈ,,NKEV.p294,*bɨˀt,sow (v),#A0045,V285,—,—,—,—,117,*cɤ/am,plant,964,*brəh,sow (seed),,,,,,,,,,,
asin,,FR,əsin,,RSED.p16,nsiŋ,,BDBH.1641,isin,,GZ65.173,isin,,PKED.p81,isinɔ,,JLIC.v65,nsiŋ,,PGEG.p37,isin,,CDES.p39,isin,,BMED.p77,isin,,DHED.p153,isiŋ,,BAHL.p12,isin,,korku.txt.12071,*v₂₃sin,boil (v),#A0046,V86,1137,**ciinʔ (> Pre-Bahnaric *cin); *ciən[ ]; *cain[ ],cooked,Mon; Khmer; Bahnaric; Khmuic; Palaungic; Viet-Muong / Aslian; Nicobaric / Katuic,537,*cənam,boil,,,,,,,,,,,,,"In contrast to the regular reflexes in _*sƏn_ ‘chase (v)’, Remo, Gtaʔ, and Korwa have _ŋ_  instead of the expected _n_ in _*I₍₂₃₎sin_ ‘boil (v)’. The difference between _*sƏn_ ‘chase (v)’ and _*I₍₂₃₎sin_ ‘boil (v)’ is unexplained, the crucial difference is in all likelihood the _*i_ preceding the _*n_.",
ɖal,,FR,dal,,RSED.p73,ɖalu,,BDBH.1210,ɖal,,GZ65.80,ɖal,,PKED.p42,ɖan,,MJTL.p96,ɖa,,PGEG.p16,dapal/dalo̠p',,CDES.p40,dapal/dālob,,BMED.p35/36,dapal/dalop,,HOGV.p153,—,,—,da:l,,NKEV.p299,*dal,cover (v),#A0047,V3,1745,*kdiil; *kdiəl; *kdəl,to cover,South Bahnaric / North Bahnaric / Mon; Katuic; Bahnaric; Viet-Muong,,,,,,,,,,,,,,,,"Santali _dapal_/_dalo̠p’_ (CDES.p40), Mundari _dapal_/_dālob_ (BMED.p35/36), and Ho _dapal_/_dalop_ (HOGV.p153) are not straightforward reflexes of proto-Munda _*dal_. Santali _dapal_ and the parallel forms in Mundari and Ho suggest _*dal_ with an infix _*-p-_ or possibly the etymon _*daˀp_ (correspondence set #0076) with a suffix _*-Vl_. Santali _dalo̠p’_ in turn suggests either _*dal_ with a suffix _*-Vˀp_ or _*daˀp_ (correspondence set \#0076) with an infix _*-l-_ . The consistent differences in the vowels – a-a in the case of Santali _dapal_ and related forms and a-o̠/o in the case of Santali _dalo̠p’_ related forms – is interesting.",
—,—,—,(sakab),,RSED.p246,sop',,BDBH.2748,sob,,GGEG.p113,(suˀb),,PKED.p188,sɔb,,PJDW.p277,saʔ,,PGEG.p42,sap',,CDES.p28,sa:b,,BMED.p163,sab,,DHED.p296,sa:b,,BAHL.pdfp131,sa:p,,NKEV.p337,*saˀp,grab (v),#A0048,,1042,*[j]ɓat; *[j]ɓaat; *[j]ɓuut; *[j]ɓuət,to feel; to grasp,Mon; South Bahnaric; Palaungic; Khasi,255,*giɛm,hold; clasp,,,,,,,,,,,,,"The connection to MKCD 1236 is not strong. Reflexes of _*t₁_ should remain a stop, while the reflexes of the cluster _*[c]k_ are not well understood. It could be a case of type 2a cluster splitting by second consonant loss (CᵢCᵢᵢ → Cᵢ). Thus _*ckap_ → _*cap_ → _*saˀp_ or _*ckap_ → _*skap_ → _s*saˀp_.",
tul,,FR,til,,RSED.p288,ti,,BDBH.1360,til,,GZ65.408,til,,PKED.p199,tir,,PJDW.p284,—,,—,(til),,RSED.p288,(til),,RSED.p288,—,,—,ti:l,,BAHL.p82,—,,—,*tv₂₄l,bury (v),#A0049,,1733,*t₁iil; *t₁əl (or *t₁il?),to plant; to sow,South Bahnaric; Mon,—,—,—,,,,,,,,,,,,,,
tinaŋ,,FR,tanaŋ,,RSED.p,toŋ,,BDBH.1490,tunon,,AG08.p662,tuŋon,,PKED.p201,toŋon,,PJDW.p287,thwaN,,PGEG.p46,teŋgon,,CDES.p186,tiŋun,,BMED.p187,tiŋgu,,HOGV.p180,—,,—,ʈengene,,NKEV.p342,*tv₁₉ŋv₂₅n/tv₁₉nv₂₅ŋ,stand (v),#A0050,,1824,*taaw,to stand,Mon; South Bahnaric; ?Khasi,145,*ɟɤŋ,stand,,,,,,,,,,,,,,
(kiˀd),,FR,(kajed),,RSED.p133,goĭ,,BDBH.975,goj,,ZG65.139,goˀj,,PKED.p63,gɔɟ,,PJDW.p197,gweʔ,,PGEG.p23,go̠c',,CDES.p51,goj,,BMED.p61,goj,,DHED.p115,goej,,BAHL.p46,go,,NKEV.p306,*goˀc/goj,die (v),#A0051,,—,—,—,—,289,*jam,die,,,,,,,,,,,,,"Connect MKCD 1543 _*ghuuy_; _*ghuəy_ ‘spirit, soul’ or less likely MKCD 805 _*guc_; _*guc_ ‘to burn’?",
jer,,FR,jer,,RSED.p88,ur,,BDBH.155,—,—,—,yar,,DSKH#12601,—,—,—,wir,,PGEG.p9,ɲir,,CDES.p164,nir,,BMED.p132,nir,,DHED.p246,ɲir,,BAHL.p66,niɽe,,NKEV.p328,*ɲv₂₆r,run (v),#A0052,K294,1602,*jarʔ,"quick, to run",South Bahnaric; Viet-Muong; Central Aslian,223,*ɗuɔːʔ,run away,,,,,,,,,,,,,Maybe two forms North Munda _*ɲvr_ and in the southern languages _*jvr_?,
tḛmi,,FR,tamme,,RSED.p277,time,,BDBH.1383,time,,ZG65.410,tonme,,PKED.p289,—,—,—,tmi,,PGEG.p125,(nãwã),,CDES.p128,(nawã),,BMED.p127,(nama),,HOGV.p168,—,,—,(uni),,NKEV.345,*tᵊme,new,#A0053,V184,144,*t₁miʔ,new,Khmer; Katuic; South Bahnaric; Khmuic; Viet-Muong; Nicobaric; Mon; Palaungic; Khasi,493,*-meːʔ,new,,,,,,,,,,,,,,
boŋtel,,FR,boŋtel,,RSED.p62,buŋte,,BDBH.1917,boŋtel,,AG08.p647,boŋtel,,PKED.p36,—,—,—,buNʈi,,PGEG.p13,bitkil,,CDES.p23,—,,—,—,,—,—,,—,biʈkhil,,NKEV.p294,A:*boŋtel; B:*bitkil,buffalo,#A0054,,—,—,—,—,,,,,,,,,,,,,,,,"North Munda /i/ has to be taken out. There is no regular sound change that will result in the southern forms and North Munda _*bitkil_. When the North Munda forms are excluded, the remaining set is consistent with _*e₁_ and _*ə₂_.  Probably two separate etyma _*boŋtel_ and North Munda _*bitkil_. The form suggests some relation, but the two forms cannot be derived from proto-Munda by regular sound change.",
asar,,FR,asar,,RSED.p42,nsor,,BDBH.1657,usor,,AG08.p650,kosor,,PKED.p155,kosor,,PJDW.p229,nswar,,PGEG.p37,—,,—,—,,—,—,,—,—,,—,—,,—,*v₁₄sər,dry,#A0055,,160,"*rɔʔ; *rɔs, (*rɔs rɔs >?) *srɔs",dry,Bahnaric; Khasi; ?Palaungic; Viet-Muong / Khmer; South Bahnaric; Nicobar,,,,,,,,,,,,,,,,,
(kuˀb),,FR,(küb/kib/kaib),,RSED.p144,op,,BDBH.337,op,,ZG63.7,hapkay,,PKED.p73,—,—,—,haʔ,,PGEG.p24,hap',,CDES.p17,ha:b,,BMED.p64,hab,,DHED.p124,ha:p,,BAHL.p146,khap,,NKEV.p320,*k₂aˀp,bite (v),#A0056,V294,1231,*kap; *kaap,to bite,Khmer; Katuic; North Bahnaric; Khasi; North & Central Aslian / Nicobaric,,,,,,,,,,,,,,,,,
peˀd,,FR,ped,,RSED.p212,peʔ,,BDBH.1759,ped,,ZG65.293,pɛˀɖ,,PJED.p156,perɔ,,JLIC.v60,piʔ,,PGEG.p38,phe̠t',,CDES.p142,—,,—,—,,—,—,,—,—,,—,*peˀt,blow (v),#A0057,V157,1023,*puut; *p[əə]t,to blow,Palaungic; North & Central Aslian / North & Central Aslian,,,,,,,,,,,,,,,,,
geˀb,,FR,tuŋge:b,,RSED.p298,gep',,BDBH.967,geb,,GZ65.123,geb,,PKED.p61,—,—,—,giʔ,,PGEG.p19, —,,—,—,,—,—,,—,—,,—,—,,—,*geˀp,burn (vi),#A0058,,—,—,—,—,,,,,,,,,,,,,,,,,
miam,blood,FR,miɲam,,RSED.p177,—,—,—,iam,,GZ63.325,iɲam,,PKED.p115,iɲam/iɲɑm,,PJDW.p208,mia,,PGEG.p33,maNyaNM,,CDES.p18,ma:yom,,BMED.p116,mayom,,HOGV.p149,,,,mayum,,NKEV.p325,A:*miɲam; B:majom,blood,#A0059,,1430,*jhaam; *jhiim,blood,Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Aslian; Nicobarese,,,,,,,,,,,,,,,,,
oŋ,,FR,—,—,—,suŋ,,BDBH.2635,soŋ,,GZ65.370,soŋ,,PKED.p185,soŋ,,PJDW.p278,so,,PGEG.p42,—,,—,—,,—,—,,—,―,,—,—,,—,*soŋ,buy/sell (vt),#A0060,,—,—,—,—,,,,,,,,,,,,,,,,"Pinnow (1959, p. 224) connects Pal(aung) _jʌːŋ_, _jɔːŋ_ ‘to sell’ and Mon _swʌ̃_ ‘to sell’.",
—,—,—,—,—,—,subu,,BDBH.2665,subul,,AG08.p651,sebol,,PKED.p180,—,—,—,―,,—,sebel,,CDES.p1194,sibil,,EMV13.p3943,sibil,,DHED.p316,sebel,,DSKW.@21820,simil,,NKEV.p338,*sv₆bv₁₂l,sweet,#A0061,V257,—,—,—,—,,,,,,,,,,,,,,,,,
tuŋ,,FR,tuŋa:l,,RSED.p297,—,—,—,—,—,—,tuŋgal,,HLKS.V324,—,—,—,toŋ,,PGEG.p42,tiŋgi,,BSDV5.p461,tiŋ,,BMED.p187,tiɲ,,DHED.p353,—,,—,ʈingi,,NKEV.p343,*tv₃ŋ,kindle (v),#A0062,,549,*t₁uuŋ,to light,Palaungic,,,,,,,,,,,,,,,,"Gorum, Sora, Kharia and Gtaʔ consistent with pMunda _*tuŋ_. ",
—,—,—,(lo:ˀɟ),,RSED.p163,suloĭ,,BDBH.2692,suloj,,AG08.p651,la(i)ˀj,,PKED.p119,(lai),,JLIC.n57,slweʔ,,PGEG.p43,lac',,CDES.p188,la:iˀ,,BMED.p101,la:iʔ,,DHED.p204,la:i:ʔ,,BAHL.p123,la:j,,NKEV.p323,*lv₂₉ˀc,stomach,#A0063,K282,844,*ruuc; *ruəc,intestine,Mon; South Bahnaric; Central Aslian / Katuic; South Bahnaric; Viet-Muong,,,,,,,,,,,,,,,,Correspondences suggest pMunda _*laˀc_,
—,—,—,maraŋ/məraŋ,,RSED.p173/167,munaʔ,,BDBH.2121,(moɖo),,AG08.p663,—,—,—,—,—,—,mnaʔ,,PGEG.35,maraŋ,,CDES.p17,maraŋ,,BMED.p220,maraŋ,,DHED.p225,—,,—,—,,—,*mv₄raŋ,big,#A0064,K107,—,—,—,—,,,,,,,,,,,,,,,,"Gtaʔ _mnaʔ_ and Remo _munaʔ_ are irregular reflexes of _*mv₍₄₎raŋ_, especially the Gtaʔ form _mnaʔ_ should be different, given our current understanding of the phonological developments, since a velar coda _*aŋ_ results in Gtaʔ /ia/. Remo and Gtaʔ /n/ are also inconsistent as reflexes or either _*r_ or _*ŋ_. Gtaʔ _mnaʔ_ and Remo _munaʔ_ are consistently parallel to one another.",
asel,white,FR,—,—,—,—,—,—,—,—,—,osel,,PKED.p216,—,—,—,—,,—,e̠se̠l,,BSD2.p343,esel,,BMED.p56,esel,,DHED.p102,hesel,,BAHL.p149,esel,,HLKS.V255,*əsel,white,#A0065,V255,—,—,—,—,,,,,,,,,,,,,,,,,
buroˀb,,FR,bəro:,,RSED.p46,buruk',,BDBH.1936,buroʔ,,DSGU#4101,—,—,—,(buru),,JLIC.n49,breʔ,,PGEG.p14,bo̠ro̠,,CDES.p116,(borkod'),,BMED.p25,(borkoɖ),,DHED.p45,boro,,BAHL.p112,(bor),,DSKO#4141,*bv₁₆rv₁₇(ˀp/ˀk),lungs,#A0066,,—,—,—,—,,,,,,,,,,,,,,,,,
ali,,FR,əli/ali,,RSED.p8,ili,,BDBH.120,ili,,AG08.p672,—,—,—,—,—,—,—,,—,—,,—,ili,,BMED.p75,ili,,DHED.p151,—,,—,—,,—,*v₁₅li,liquor,#A0067,V85,—,—,—,—,,,,,,,,,,,,,,,,,
ruŋk,husked rice,FR,rʊŋkʊ,,RSED.p239,ruŋku,,BDBH.2291,rukug,,AG08.p672,ruŋkuˀb/rumkuˀb,,PKED.p171,ruŋkub,,PJDW.p269,rkoʔ,,PGEG.p41,—,,—,(rukhaɽ),,BMED.p163,—,,—,—,,—,—,,—,*ruᴺku(ˀp/ˀk),husked rice,#A0068,V139,1820,*rk[aw]ʔ (& *rkaawʔ?),husked rice,Khmer; Katuic; Palaungic; Viet-Muong; North & Central Aslian,,,,,,,,,,,,,,,,Gtaʔ /rkoʔ/ is surprisingly close th Shorto’s  _*rk[aw]ʔ_. Most other forms feature a nasal and are closer to Palaungic _*rəŋkoːʔ_.,
—,—,—,ɟelu:,,RSED.p123,sili/seli,,BDBH.2599/2731,seli,,AG08.p674,―,—,—,—,—,—,cili,,PGEG.p15,jel,,CDES.p120,jilu,,BMED.p83,jilu,,DHED.p165,—,,—,jilu,,NKEV.p311,*ɟəlu,meat,#A0069,V228,—,—,—,—,,,,,,,,,,,,,,,,A possibly connected MKCD etymon is MKCD 204 _*[c]nlu[u]ʔ_ ‘edible grub’ only atttested in Bahnaric.,
—,—,—,u:l,,RSED.p304,uli,,BDBH.171,ili,,DSGU#4032,—,—,—,(holɛ),,PJDW.p205,uli,,PGEG.p7,ul,,CDES.p118,uli,,BMED.p192,uli,,DHED.p370,u:l,,BAHL.p19,—,,—,*uli,mango (ripe),#A0070,,—,—,—,—,,,,,,,,,,,,,,,,"If Juang /ɛ/ is genuine, #0070-3 belongs to _*i₃_. Otherwise, _*i₁_ is also possible. Juang /o/ is unexpected, however the whole form /holɛ/ is as a whole problematic. The initial /h/ is unexpected.",
aroj,fly,FR,əro:j,,RSED.p14,(ayoŋ/ayuŋ),,BDBH.39,uroj,,GGEG.p93,(kɔnɖɔi),,HLKS.K356,—,—,—,nɖroe,,PGEG.p36,ro̠,,CDES.p76,roko,,BMED.p161,roko,,DHED.p291,roʔo,,DSKW.19600,ruku,,NKEV.p335,A:*roj; B:*roko,fly,#A0071,K356,1534,Pre-Proto-Mon-Khmer *ru[wa]y > *ruy; *ruuy; *ruəy; Pre-Proto-Mon- Khmer *ruhay,fly,Khmer / Mon; Nicobaric / Katuic; Bahnaric; Khmuic; Palaungic; Viet-Muong; Central & South Aslian / South Bahnaric,,,,,,,,,,,,,,,,Gtaʔ /nɖroe/ derives from pre-Gtaʔ _*n(ɖ)roj_. Kharia kɔnɖɔi could derive from /kɔnrɔi/.,
saŋsaŋ,tumeric,FR,sansaŋ,,RSED.249,saŋsaŋ,,BDBH.400,saŋsaŋ,,GZ63.226,saŋsaŋ,,PKED.p176,saŋsaŋ,,PJDW.p268,ssia,,PGEG.p42,sasaŋ,,CDES.p230,sasaŋ,,BMED.p157,sasaŋ,,DHED.p307,—,,—,sasan,,DSKO#24491,*saŋsaŋ,turmeric/yellow,#A0072,,—,—,—,—,,,,,,,,,,,,,,,,"While Sora /n/ in the first coda can be explained as a assimilation to the following /s/, Korku /n/ is unexpected and remains uneplained.",
luˀd,,FR,luˀd,,RSED.p165,luntur,,BDBH.2386,litir,,AG08.p652,lutur,,PKED.p127,lutur/lutuʔ,,PJDW.p239,nlug,,PGEG.p36,lutur,,CDES.p60,lutur,,BMED.p110,lutur,,DHED.p216,lutur,,BAHL.p128,lutur,,NKEV.p324,*lutur,ear,#A0073,V147,1621,*kt₂uur; *kt₂uər,ear,South Bahnaric; Palaungic; ?Katuic / Mon; Khasi,,,,,,,,,,,,,,,,"Gorum and Sora _luˀd_ as well as Gtaʔ _nlug_ are not a regular reflex _*lVtVr_, but reflect _*lxˀt without a final _\*r_.",
muʔ,nose,FR,mu:ʔ,,RSED.p179,nseʔmiʔ,,BDBH.1653,miʔ,,GZ63.262,romoŋ/romoˀɖ,,PKED.p170,motɛɟ,,PJDW.p245,mmu,,PGEG.p34,muN,,CDES.p129,mu/muhu,,BMED.p121,muwa/muʈa,,DHED.p238,hu:mu:,,DSKW@23180,mu:,,NKEV.p327,*muuˀ,nose,#A0074,V387,2045,*muh; *muuh; *muus,nose,Mon; Katuic; Bahnaric; Khmuic; Khasi; Aslian; Nicobaric / Palaungic; Central Aslian / Palaungic; VIet-Muong,,,,,,,,,,,,,,,,"The reflexes of V₂ (#0075-4) are consistent with _*i₁_, but not definite, while the reflexes of V₁ (#0075-2) are definite. The nasalization in Gutob is unexpected, but consistent with the other sets in _*ŋ₂_ so far. Gtaʔ /n/ is unexpected, but may be explained by assimilation to the preceding /s/. Ho /ŋ/ is unexpected and unexplained.",
—,—,—,—,—,—,siŋi,,BDBH.2543,siN,,AG08660,siŋ,,PKED.p183,siŋ,,PJDW.p244,sni,,PGEG.p34,siɲ,,CDES.p193,siŋi,,BMED.p174,siŋi,,DHED.p319,si:ŋ,,BAHL.p136,—,,—,*siŋi,sun,#A0075,V286,31,*t₂ŋiiʔ,sun; day,Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Mương; South Aslian; Nicobaric,,,,,,,,,,,,,,,,"The reflexes of V₂ (#0075-4) are consistent with _*i₁_, but not definite, while the reflexes of V₁ (#0075-2) are definite. The nasalization in Gutob is unexpected, but consistent with the other sets in _*ŋ₂_ so far. Gtaʔ /n/ is unexpected, but may be explained by assimilation to the preceding /s/. Ho /ŋ/ is unexpected and unexplained.",
ɖaˀb,,FR,dab,,RSED.p71,ɖab,,BDBH.1197,—,—,—,dab,,PKED,—,—,—,—,,—,dap',to cover; to thatch,CDSE.p20,da:p,,BMED.p32,—,—,—,da:b,to arrange tiles on the roof of the house,BAHL.p86,—,—,—,*daˀp,cover (v),#A0076,V3,1260/1261,*dəp / *ɗəp; *ɗəəp; *ɗap; *ɗaap; *ɗup; *ɗuup; *ɗuəp; *[ɗ]ip; *ɗiəp,to block; dam / to cover ,Khmer; Katuic; Bahnaric; Palaungic; Viet-Muong // Mon; Khmer; Bahnaric; Palaungic; Khasi; Viet-Muong; Nicobaric / Bahnaric / Khmer; Viet-Muong; Nicobaric / Palaungic; Nicobaric / South Bahnaric; Khasi; Nicobaric / Khmer; North Bahnaric; Palaungic; Viet-Muong; ?South Bahnaric / Mon; North Bahnaric / Khmer / Viet-Muong,,,,,,,,,,,,,,,,,
gali,,FR,gale,,RSED.p96,gileker,,DSBO.11781,gile,,GTXT.7791,gɔlɛ,,HLKS.V182,(ɔnɔ),,PJDW.p255,(konto-ja),,PGEG.p28,gele,,CDES.p185,gele,,EM.p1418,gele,,DHED.p111,geleʔ,,BAHL.p45,(kelʈa),,NKEV.p317,*gəle,ear of corn,#A0077,V182,1577,*gur; *guər,ear of grain,Palaungic / Khmer,,,,,,,,,,,,,,,,"If Juang _ɔnɔ_ is a genuine reflex of _*gəle_, it belongs to _*l₃_. However, the lack of an inital /g/ suggests that it is not connected. Accordingly, _*gəle_ ‘ear of corn’  can belong to _*l₁_, _*l₃_, or _*l₄_.",
bagu,two,FR,bar,,RSED.p48,mbaʔr,,BDBH.2214,umbar,,AG08.p646,ubar,,PKED.p205,umba,,PJDW.p291,mbar,,PGEG.p34,bar,,CSED.p42,baria,,BMED.p20,bar,,DHED.p27,—,,—,ba:r,,NKEV.293,*bar,two,#A0078,V49,1562,"Pre-Proto-Mon-Khmer *biʔaar > *ɓaar, Pre-Khmer *[ɓ]ir, Pre-Palaungic &c. *ʔaar",two,Mon; Khmer; Katuic; Bahnaric; Palaung; Khasi; Viet-Muong; Nicobaric; Aslian,,,,,,,,,,,,,,,,,
zaˀd,,FR,ɟa:,,RSED.p117,sa,,BDBH.2547,sa,,AG08.p649,ja,,HLKS.V1,ɟan,,PJDW.p211,,,,ja,,BSD3.p216,ja:,,BMED.p77,ja:,,DHED.p155,ja'',,DSKW.@09330,ja,,DSKO.12141,*ɟa; ɟaaˀ; ɟaˀt,additive.particle,#A0079,V1,—,—,—,—,,,,,,,,,,,,,,,,"Gorum /ˀd/ and maybe Juang /n/ point to some alveolar element, but the other forms consistenly relfect _*ɟa_ or alternatively _*ɟaaˀ_.",
—,—,—,gam,,RSED.p96,—,—,—,gam,,Z1965.121,gam,,PKED.p57,gam,,PJDW.p194,—,,—,gam,,CSED.p176,gamu,,HLKS.V12,gamu,,HLKS.V12,—,,—,—,,—,*gam,say (v),#A0080,V12,—,—,—,—,,,,,,,,,,,,,,,,,
marraʔ,,FR,ma:ra:,,RSED.p173,—,—,—,maraʔ,,SAAW.p1,maraʔ,,PKED.p131,marag,,PJDW.p242,—,,—,marak',,CSED.p407,ma:ra:,,BMED.p114,mara:,,DHED.p225,mara:q,,BAHL.p117,mara,,NKEV.p324,*maraˀk,peacock,#A0081,V27,416,*mraik[ ],peacock,Mon; South Bahnaric; Palaungic,,,,,,,,,,,,,,,,Gorum _marraʔ_ ‘husband’ probably belongs to another etymon connected with MKCD 183 _*mraʔ_ ‘person’.,
zuleŋa,,FR,ɟele:n,,RSED.p123,sileŋ,,BDBH.2601,silej,,AG08.p651,"jhelo(g,b,m)",,PKED.p92,ɟaliŋ,,PJDW.210,clæ,,PGEG.p15,jeleɲ,,CSED.p260,jiliŋ,,BMED.p83,jiliɲ,,DHED.p165,—,,—,—,,—,*ɟv₃₆lv₃₇N,long/tall,#A0082,V340,740,*jliiŋ (& *jliŋ?); *jla[i]ŋ,long,Mon; Palaungic; South Aslian; Nicobaric / Palaungic,,,,,,,,,,,,,,,,"The set _*ɟVlVN_ ‘long/tall’ displays unclear reflexes of a final nasal. The problems are aggravated by the fact that this might be a fused set of two or more etyma meaning _long_, _tall_, _high_, _slim_, and related concepts all based in the consonantal frame _*ɟVlVN_, but with different vowels. If we assume that the character of the vowel preceding the nasal may influence the the form in certain languages, the problem of the different etyma with different vowels is fundamental for the reconstruction of the final nasal.",
—,—,—,tarel,,RSED.p138,tire,,BDBH.1390,—,—,—,ti(ɽr)(ei)l,,PKED.p200,tɛrɛn,,PJDW.p285,tre,,PGEG.p46,terel,,CSED.p626,tiril,,BMED.p188,tiril,,DHED.p355,—,,—,—,,—,*tv₁₅rel,ebony,#A0083,V227,—,—,—,—,,,,,,,,,,,,,,,,,
